"","vidid","adview","views","likes","dislikes","comment","category","time_in_sec","no_days_old"
"2101","VID_999",2,"114097","1043","59","692","B",500,543
"2102","VID_18489",4,"1632604","13194","763","2072","F",394,805
"2103","VID_21977",1,"219753","1551","18","124","G",252,939
"2104","VID_8501",2,"36995","131","4","25","D",61,666
"2105","VID_22517",14351,"20306","226","16","29","G",292,366
"2106","VID_12877",27,"2600138","1158","598","212","D",818,854
"2107","VID_17239",1,"21712","87","3","9","E",125,1683
"2108","VID_12678",1,"1183255","3026","418","141","D",8167,368
"2109","VID_3631",6,"47615","57","7","5","D",885,2228
"2110","VID_22670",1,"4985","153","11","20","G",216,406
"2111","VID_5919",1,"14150","16","7","3","D",110,2229
"2112","VID_22779",7,"14834","360","8","15","G",269,666
"2113","VID_13084",12,"6794324","12598","2495","1039","D",203,1555
"2114","VID_18719",1,"434","2","0","0","F",242,614
"2115","VID_10918",1,"140383","760","33","198","D",2995,645
"2116","VID_7317",1,"61342","480","113","83","D",182,960
"2117","VID_9934",1,"443390","2200","214","131","D",113,887
"2118","VID_19307",1,"74064","363","23","28","G",515,1571
"2119","VID_14580",1,"8214","165","6","7","D",106,1149
"2120","VID_8943",3,"1552329","8982","499","1736","D",595,1085
"2121","VID_17452",2,"8988","29","0","0","E",54,2302
"2122","VID_19831",1,"3705","14","0","1","G",106,2730
"2123","VID_23653",1,"16619","10","1","6","H",693,1513
"2124","VID_21985",2,"850824","2925","38","179","G",251,939
"2125","VID_7207",1,"12369","15","4","0","D",100,610
"2126","VID_14816",1,"201938","905","28","26","D",217,760
"2127","VID_2032",1,"315119","271","24","179","B",587,3435
"2128","VID_986",2,"205539","1046","162","881","B",345,624
"2129","VID_9946",1,"414659","1034","181","174","D",240,670
"2130","VID_20822",2,"54336940","128004","8629","6650","G",289,469
"2131","VID_14538",1,"8056014","16871","4250","765","D",342,493
"2132","VID_12406",7,"2655180","1452","560","97","D",289,927
"2133","VID_12370",4,"149479","75","27","2","D",230,1696
"2134","VID_2994",3,"384099","496","86","33","C",188,905
"2135","VID_21806",1,"290923","4667","89","331","G",273,1528
"2136","VID_705",2,"70695","748","56","493","B",406,545
"2137","VID_18089",1,"314866","860","114","283","F",430,1001
"2138","VID_9773",6,"3394","36","6","4","D",100,1235
"2139","VID_18026",3,"374767","3094","572","1325","F",387,562
"2140","VID_6387",22,"1196676","2339","183","96","D",132,1458
"2141","VID_18293",2,"145860","1210","7","55","F",191,855
"2142","VID_10874",13049,"17914","44","1","2","D",268,456
"2143","VID_16668",6,"1379234","1304","637","77","E",487,714
"2144","VID_21004",11,"1718662","3336","126","188","G",276,588
"2145","VID_8227",1,"33239","616","14","85","D",161,528
"2146","VID_16975",2,"320123","6655","161","4941","E",609,650
"2147","VID_3122",12,"451972","366","176","86","D",2057,1800
"2148","VID_22981",1,"53521","202","17","68","G",1146,1394
"2149","VID_14979",7,"8472","46","4","13","D",259,2429
"2150","VID_3508",1,"1425910","5489","337","236","D",707,2283
"2151","VID_13867",1,"707449","9508","362","3203","D",360,382
"2152","VID_19300",1,"18659","54","7","8","G",2887,576
"2153","VID_3535",1,"50987","165","23","1","D",617,341
"2154","VID_13582",2,"2306279","36812","752","1810","D",423,343
"2155","VID_22350",2,"62405","735","10","38","G",226,1192
"2156","VID_22787",21767,"46938","169","11","11","G",228,1384
"2157","VID_2094",3,"4521","27","48","F","B",82,1440
"2158","VID_22810",1,"6038","140","4","17","G",159,1457
"2159","VID_11085",2,"5043972","43176","2096","2988","D",531,1114
"2160","VID_14926",8,"200101","2564","48","1559","D",1850,2000
"2161","VID_9831",13021,"15003","20","8","0","D",180,911
"2162","VID_13233",3,"100184","2197","29","61","D",367,965
"2163","VID_17219",5,"459863","6262","143","4073","E",563,581
"2164","VID_8041",1,"327180","183","130","26","D",86,562
"2165","VID_23441",1,"98820","489","46","50","H",4141,1317
"2166","VID_18205",2,"58790","674","28","236","F",255,951
"2167","VID_988",1,"314859","1622","497","1651","B",647,599
"2168","VID_1027",1,"18577","189","22","28","B",37,1442
"2169","VID_2964",15,"110094","428","12","47","C",298,2469
"2170","VID_20164",6,"30043","100","6","13","G",518,1546
"2171","VID_8086",6,"4178589","705","475","102","D",101,1752
"2172","VID_12622",1,"8193","14","1","1","D",9536,632
"2173","VID_3265",3,"353845","330","137","98","D",2578,1597
"2174","VID_10733",427809,"434417","3","0","0","D",36,575
"2175","VID_10624",4,"34148","287","6","71","D",639,1446
"2176","VID_18485",4,"1063282","5937","326","1817","F",377,658
"2177","VID_20343",1,"90065","249","13","53","G",319,1405
"2178","VID_15501",1,"26923","36","8","4","E",8190,1109
"2179","VID_19599",1,"8816","27","1","1","G",258,1254
"2180","VID_18931",1,"24073","741","171","210","F",210,2445
"2181","VID_305",2,"91266","4128","62","309","A",1386,591
"2182","VID_20302",2,"468807","200","77","89","G",1786,1219
"2183","VID_8463",1,"60224","80","2","4","D",56,661
"2184","VID_15109",1,"130232","433","8","55","E",636,1195
"2185","VID_20304",6,"274940","509","35","178","G",362,677
"2186","VID_15052",1,"15680","353","15","12","D",225,1400
"2187","VID_7046",1,"340093","421","112","52","D",9526,939
"2188","VID_14653",1,"14094","519","79","110","D",8342,597
"2189","VID_8568",2,"43094","161","8","25","D",82,512
"2190","VID_8680",19,"331","0","0","0","D",103,592
"2191","VID_3191",13,"525588","653","201","126","D",2515,1627
"2192","VID_9634",2,"676","0","0","0","D",16,525
"2193","VID_12660",1,"48455","324","27","91","D",1293,557
"2194","VID_23598",1,"20180","65","10","11","H",254,1023
"2195","VID_9164",3,"5881","49","0","2","D",166,641
"2196","VID_22549",3,"17551","34","4","2","G",105,1431
"2197","VID_15447",1,"66133","56","22","8","E",6451,2105
"2198","VID_3082",12,"75961","235","13","39","C",157,1758
"2199","VID_2575",1,"2799","14","1","4","C",303,603
"2200","VID_13356",1,"1827","9","1","1","D",489,788
"2201","VID_6679",16,"1289645","551","241","74","D",272,2068
"2202","VID_7999",1,"8537","7","3","0","D",134,570
"2203","VID_11726",1,"1834","3","2","0","D",7766,1394
"2204","VID_19073",1,"612","22","0","2","F",198,573
"2205","VID_10106",7,"1404396","1213","399","196","D",162,649
"2206","VID_12113",1,"542684","4772","1791","1888","D",394,541
"2207","VID_17022",1,"18897","7","12","2","E",8377,1213
"2208","VID_19233",3,"8711987","23625","2158","917","G",308,503
"2209","VID_518",2,"107665","1177","49","178","A",666,1522
"2210","VID_14130",1,"70345","500","10","43","D",255,799
"2211","VID_19518",2,"50416","134","23","7","G",1776,1984
"2212","VID_23397",1,"510277","2584","128","83","H",453,1101
"2213","VID_2098",127,"1527","56","4","12","B",85,559
"2214","VID_23537",1,"53726","59","27","7","H",1620,966
"2215","VID_11498",1,"39492","89","12","9","D",96,1203
"2216","VID_11263",4,"91446","1866","71","456","D",443,463
"2217","VID_14065",1,"391236","5614","195","1394","D",102,2820
"2218","VID_6406",8,"2048150","6741","573","218","D",532,1475
"2219","VID_3626",1,"373808","618","44","12","D",229,1092
"2220","VID_10250",3,"440","1","0","0","D",31,607
"2221","VID_15771",29,"1802661","1187","313","158","E",8584,2588
"2222","VID_20182",1,"50734","235","14","15","G",272,1436
"2223","VID_9802",28686,"32053","68","0","1","D",162,876
"2224","VID_23285",1,"53943","72","30","68","H",5241,2082
"2225","VID_1687",1,"670869","3225","84","508","B",348,627
"2226","VID_5847",3,"1374106","5128","341","958","D",286,818
"2227","VID_20417",1,"122677","483","14","45","G",290,2011
"2228","VID_15162",2,"97424","405","24","118","E",377,612
"2229","VID_6171",2,"170935","346","18","13","D",293,2030
"2230","VID_9275",1,"11579","16","2","1","D",1143,1676
"2231","VID_21961",8,"211367","463","12","46","G",71,4484
"2232","VID_4796",1,"13620","18","1","0","D",654,1559
"2233","VID_23373",1,"400559","957","73","264","H",421,539
"2234","VID_9994",2,"402705","407","39","35","D",159,784
"2235","VID_3740",3,"244889","401","121","31","D",85,616
"2236","VID_10471",2,"389749","924","179","1101","D",611,741
"2237","VID_15784",33,"3935165","2568","851","240","E",9023,2280
"2238","VID_7513",1,"11713","258","4","182","D",250,1602
"2239","VID_8549",9,"63609","59","8","6","D",299,718
"2240","VID_8542",1,"554","2","0","0","D",602,420
"2241","VID_5587",2,"1280012","471","487","21","D",180,712
"2242","VID_3234",1,"94561","100","37","39","D",2576,1531
"2243","VID_22141",1,"817405","4773","66","452","G",209,2343
"2244","VID_2155",1,"529448","3690","126","195","C",174,2053
"2245","VID_9892",3891,"34986","31","8","1","D",375,1044
"2246","VID_20297",1,"13801","73","1","18","G",231,587
"2247","VID_16373",2,"910","5","0","0","E",230,891
"2248","VID_22937",2,"2852","93","8","12","G",241,797
"2249","VID_22129",11,"1212994","15876","159","474","G",208,759
"2250","VID_8191",2,"990890","883","159","76","D",7982,596
"2251","VID_4724",3,"276674","1640","41","137","D",587,1754
"2252","VID_17780",2,"85301","738","21","86","F",226,1207
"2253","VID_22049",14,"410557","2065","30","511","G",176,2708
"2254","VID_22118",1,"12009","171","12","5","G",2281,590
"2255","VID_11728",1,"19597","25","4","3","D",8563,1394
"2256","VID_18183",162,"158866","1341","285","368","F",277,824
"2257","VID_3619",1,"301378","445","97","39","D",225,892
"2258","VID_2415",3,"17446","14","7","F","C",762,611
"2259","VID_20380",1,"31916","481","2","12","G",356,503
"2260","VID_21871",2,"335182","3578","166","379","G",360,577
"2261","VID_19163",1,"144904","124","18","9","G",289,1899
"2262","VID_14425",34,"1038224","1953","235","119","D",98,559
"2263","VID_655",2,"112429","410","15","115","B",1371,1119
"2264","VID_20197",1,"1955","8","1","2","G",761,1551
"2265","VID_4683",18,"272564","534","50","53","D",1400,1697
"2266","VID_4007",2,"26758","34","7","19","D",2471,1656
"2267","VID_21084",7,"32669","291","3","17","G",223,1069
"2268","VID_77",3940,"15742","313","56","83","A",446,1104
"2269","VID_16447",2,"14305","68","34","0","E",31,722
"2270","VID_20694",1,"45265","641","9","116","G",239,1966
"2271","VID_21801",1,"518005","19720","703","1492","G",213,636
"2272","VID_4917",13,"2461671","2301","393","97","D",864,1219
"2273","VID_46",1,"198364","317","28","85","A",97,801
"2274","VID_22963",2,"335387","813","64","59","G",244,730
"2275","VID_8329",2,"26448","14","3","2","D",1523,1431
"2276","VID_5165",4,"1358711","1486","288","413","D",151,2208
"2277","VID_20699",1,"9810","125","12","36","G",449,1925
"2278","VID_11626",2,"166103","838","30","49","D",323,589
"2279","VID_7101",1,"56232","503","9","68","D",1262,1184
"2280","VID_12186",1,"19485","309","5","59","D",2284,611
"2281","VID_10482",1699,"1560195","3013","712","3722","D",481,736
"2282","VID_7248",1,"248680","331","34","11","D",468,1727
"2283","VID_19705",1,"1495615","790","255","225","G",4745,1838
"2284","VID_19313",1,"37094","200","18","21","G",3840,1720
"2285","VID_19354",2,"195974","765","54","33","G",4218,1041
"2286","VID_17336",6,"157146","1115","53","401","E",1019,2236
"2287","VID_16852",5,"153668","302","15","126","E",663,2472
"2288","VID_5361",5,"135437","165","22","14","D",139,1950
"2289","VID_2753",2,"31023","170","16","18","C",1045,1001
"2290","VID_10053",22,"1055187","523","248","64","D",225,674
"2291","VID_3627",1,"9978","24","1","4","D",2541,1554
"2292","VID_5164",2,"914872","649","40","28","D",71,2166
"2293","VID_22065",20,"572685","2896","50","868","G",184,2708
"2294","VID_5375",44,"262979","733","26","105","D",234,738
"2295","VID_10470",3,"161765","133","34","30","D",236,744
"2296","VID_11036",1,"3325705","17143","1110","876","D",458,1935
"2297","VID_7419",2,"13854","245","5","104","D",350,1261
"2298","VID_433",20947,"25099","142","33","12","A",493,362
"2299","VID_4404",1,"28460","25","7","1","D",6862,1508
"2300","VID_13669",22,"7774","F","F","F","D",146,645
"2301","VID_14445",1,"29441","37","13","6","D",234,1898
"2302","VID_16587",1,"205668","325","21","44","E",31,2364
"2303","VID_22567",8,"1369397","4906","139","181","G",206,1253
"2304","VID_19239",4,"22737","20","2","1","G",123,1962
"2305","VID_18569",1,"23682","74","11","23","F",75,1628
"2306","VID_6563",7,"558436","2178","331","12116","D",601,638
"2307","VID_429",9348,"23514","67","10","2","A",363,1163
"2308","VID_10611",1,"96239","413","211","466","D",387,568
"2309","VID_20242",1,"31362","87","6","11","G",1238,1707
"2310","VID_9649",2,"688128","1332","250","24","D",386,2313
"2311","VID_23439",3,"608125","3856","370","322","H",1651,1060
"2312","VID_10351",5,"195389","440","36","70","D",2331,566
"2313","VID_22349",1,"9444","142","3","10","G",181,572
"2314","VID_12217",1,"17086","225","2","19","D",240,606
"2315","VID_17915",1,"374662","3215","289","2083","F",189,975
"2316","VID_4014",2,"176466","143","14","0","D",313,2208
"2317","VID_5372",1,"25104","35","6","1","D",73,1536
"2318","VID_15688",1,"1149","0","0","0","E",734,1744
"2319","VID_12573",1,"226012","1533","36","61","D",206,752
"2320","VID_18147",2,"441756","11174","362","998","F",758,589
"2321","VID_1996",1,"2797","2","0","0","B",129,1639
"2322","VID_20069",1,"18635","101","3","4","G",455,769
"2323","VID_16278",6,"2026","3","1","0","E",16,716
"2324","VID_18334",177928,"317998","1122","22","98","F",293,464
"2325","VID_16693",21,"62582","63","33","5","E",1545,692
"2326","VID_14340",1,"9541927","18543","8715","7483","D",64,3383
"2327","VID_11136",1,"98625","1313","20","272","D",633,557
"2328","VID_21112",1,"215328","324","60","73","G",3526,1013
"2329","VID_883",5949,"9180","24","11","3","B",396,862
"2330","VID_21129",2,"2497875","2568","919","414","G",10497,1473
"2331","VID_23688",1,"913285","194","157","30","H",231,609
"2332","VID_11658",2,"1246553","827","160","51","D",183,680
"2333","VID_8393",2,"110732","164","41","10","D",8433,966
"2334","VID_23478",383,"68491","833","29","137","H",223,689
"2335","VID_21650",673,"8625","59","0","3","G",272,579
"2336","VID_8167",10,"1010118","1122","263","106","D",8526,1180
"2337","VID_10540",2,"621186","454","107","18","D",66,1015
"2338","VID_21440",86,"1429687","6148","118","506","G",351,2702
"2339","VID_18862",2,"117709","1446","29","100","F",196,610
"2340","VID_7736",3,"6129","365","3","7","D",207,528
"2341","VID_14624",1,"202936","218","81","35","D",5019,565
"2342","VID_5633",1,"337957","181","29","4","D",254,1802
"2343","VID_17884",178,"2093518","2401","449","389","F",269,1992
"2344","VID_8676",2,"370","0","0","0","D",58,598
"2345","VID_1458",9,"5250924","26528","693","5588","B",480,703
"2346","VID_14923",1,"154508","1734","34","507","D",1768,1659
"2347","VID_16196",1,"27659","52","5","0","E",6456,1010
"2348","VID_18146",3,"140485","7164","30","795","F",1156,586
"2349","VID_22046",15,"174462","680","14","399","G",360,2708
"2350","VID_2293",1,"775","8","1","2","C",533,957
"2351","VID_18377",2,"608078","7760","140","483","F",523,559
"2352","VID_14231",1,"115817","496","73","32","D",22565,568
"2353","VID_10726",1,"135","1","0","0","D",27,1866
"2354","VID_22783",13,"4130948","9807","314","283","G",229,772
"2355","VID_13387",1,"80513","148","9","103","D",171,4151
"2356","VID_23218",1,"22255","73","8","3","H",3205,1288
"2357","VID_17449",1,"31802","135","19","26","E",1704,1632
"2358","VID_11960",44,"138014","740","28","14","D",569,1173
"2359","VID_5171",3,"1090607","9102","424","1200","D",148,734
"2360","VID_19733",2,"9970","18","5","1","G",350,1902
"2361","VID_17381",15,"75500","184","24","24","E",139,875
"2362","VID_14478",6,"695255","6068","255","671","D",198,404
"2363","VID_10720",9,"98","0","1","0","D",35,548
"2364","VID_5228",1,"215265","430","42","21","D",110,646
"2365","VID_16809",1,"25012","56","1","4","E",640,2466
"2366","VID_21676",2115,"2506","2","0","0","G",166,439
"2367","VID_14307",1,"417848","4100","220","933","D",440,870
"2368","VID_17122",2,"12259","42","11","27","E",294,1706
"2369","VID_189",1,"3509","5","2","0","A",114,1892
"2370","VID_20783",32,"4815","34","0","2","G",187,592
"2371","VID_8746",1,"44753","28","22","2","D",975,678
"2372","VID_11897",3,"528484","4219","135","209","D",138,576
"2373","VID_8056",1,"200988","884","113","92","D",1366,1325
"2374","VID_18616",1,"7284","27","2","1","F",259,1359
"2375","VID_15578",1,"269056","561","214","60","E",194,1354
"2376","VID_20180",3,"40990","237","9","18","G",275,1673
"2377","VID_14401",2,"1304639","588","160","38","D",154,1499
"2378","VID_21282",2,"1018895","4283","1308","640","G",674,1023
"2379","VID_10702",1,"70","0","0","0","D",41,2209
"2380","VID_5142",2,"844772","800","34","36","D",60,2654
"2381","VID_11360",11,"400510","272","144","F","D",1849,648
"2382","VID_20896",4,"554588","1325","187","113","G",6204,1121
"2383","VID_1512",8,"166544","4098","77","608","B",377,565
"2384","VID_10082",23,"2201746","1813","772","170","D",619,577
"2385","VID_8127",4,"294996","1040","37","454","D",1628,2655
"2386","VID_14384",7,"3571","0","0","0","D",22,1397
"2387","VID_17861",1,"7459","9","1","0","F",153,1751
"2388","VID_3496",12,"391792","315","56","15","D",277,2549
"2389","VID_22260",2559,"3966","20","0","5","G",662,847
"2390","VID_15842",5,"342511","355","147","70","E",5820,1163
"2391","VID_13002",163,"111694","76","19","4","D",11,1437
"2392","VID_6175",3,"349581","311","24","17","D",98,2189
"2393","VID_11357",15,"428503","310","198","F","D",914,605
"2394","VID_2096",1,"32326","164","32","25","B",172,978
"2395","VID_17995",1,"557805","3749","784","4211","F",268,801
"2396","VID_4302",1,"1139606","921","187","53","D",80,1432
"2397","VID_3418",1,"1546320","3484","377","131","D",459,1650
"2398","VID_16344",26,"115092","217","20","12","E",100,607
"2399","VID_885",1,"7532","26","0","2","B",144,1783
"2400","VID_17074",2,"478291","1072","744","32","E",5250,399
"2401","VID_870",1,"7873","141","17","1","B",298,1135
"2402","VID_18568",1,"2369","8","0","5","F",73,1586
"2403","VID_22877",2528,"8478","21","1","3","G",16,997
"2404","VID_20705",4,"51911","676","10","169","G",408,1461
"2405","VID_16018",1,"558186","1396","116","25","E",251,780
"2406","VID_23128",1,"271165","456","95","F","H",1442,741
"2407","VID_8920",2,"87756","1139","53","65","D",1046,1583
"2408","VID_1799",1,"24637","37","13","2","B",206,822
"2409","VID_936",1,"222119","1371","98","643","B",253,544
"2410","VID_12569",8,"1128877","3914","1377","240","D",253,501
"2411","VID_12994",5,"6419","16","2","2","D",429,1436
"2412","VID_22510",1,"730407","1946","109","189","G",197,4290
"2413","VID_15626",1,"66501","129","12","4","E",3456,1723
"2414","VID_16672",1,"37385","27","14","4","E",1033,564
"2415","VID_4916",3,"1922763","3511","809","279","D",9331,2529
"2416","VID_6765",1,"236136","438","35","14","D",1427,1440
"2417","VID_16277",31,"2280","7","0","1","E",11,591
"2418","VID_16806",1,"23127","46","1","6","E",603,2472
"2419","VID_3129",5,"143690","79","32","14","D",2550,2031
"2420","VID_12410",27,"6600175","4628","2189","157","D",862,761
"2421","VID_114",1,"65643","227","16","33","A",323,540
"2422","VID_4632",1,"286510","460","80","291","D",438,1152
"2423","VID_10762",1,"1499","4","0","0","D",707,1709
"2424","VID_21626",1,"101926","1488","19","118","G",196,1234
"2425","VID_6436",1,"30634","83","3","2","D",265,2203
"2426","VID_21041",4,"31198","282","2","35","G",204,890
"2427","VID_11311",3,"127904","480","51","417","D",123,2520
"2428","VID_11290",1,"130777","799","72","262","D",181,1319
"2429","VID_4464",2,"118696","86","28","7","D",8967,962
"2430","VID_10729",1,"280","1","0","0","D",66,1229
"2431","VID_10355",5,"446650","713","115","103","D",2334,1295
"2432","VID_8465",1,"18391","33","1","0","D",80,675
"2433","VID_6825",4,"576425","11947","265","4298","D",441,619
"2434","VID_21533",1,"413056","1911","66","85","G",143,715
"2435","VID_18378",2,"933615","15332","638","284","F",180,768
"2436","VID_21418",14,"617060","1052","233","488","G",426,2866
"2437","VID_6248",9,"225154","341","28","26","D",325,2834
"2438","VID_2182",1,"17272","259","4","12","C",158,446
"2439","VID_14532",6,"623484","1742","239","95","D",353,777
"2440","VID_15411",181,"1317494","725","201","335","E",382,886
"2441","VID_23641",1,"31023","117","47","16","H",124,1297
"2442","VID_6950",2,"91155","43","60","3","D",100,2158
"2443","VID_6323",4,"573367","2243","235","84","D",577,2273
"2444","VID_7673",1707,"21590","52","10","15","D",2762,348
"2445","VID_13318",1,"100","0","0","0","D",60,1417
"2446","VID_9056",1,"418111","616","46","21","D",189,1366
"2447","VID_4298",1,"83064","159","17","5","D",138,738
"2448","VID_13788",1,"24000","13","0","2","D",28,1297
"2449","VID_20336",1,"2158","32","0","5","G",302,988
"2450","VID_1117",2,"1507217","12839","470","2220","B",893,804
"2451","VID_6255",3,"326923","519","47","30","D",420,2497
"2452","VID_17836",1,"147571","796","57","74","F",253,1438
"2453","VID_6981",1,"31345","34","1","12","D",138,635
"2454","VID_17342",4,"143761","914","29","347","E",476,2656
"2455","VID_23182",2,"455427","174","56","2","H",215,1143
"2456","VID_5558",1,"294998","864","451","237","D",293,1242
"2457","VID_1287",51,"1293218","11201","255","976","B",202,1375
"2458","VID_21644",1,"6975","35","4","1","G",2186,1527
"2459","VID_14607",1,"182356","354","34","27","D",414,998
"2460","VID_19552",4,"4156796","24848","776","2843","G",828,714
"2461","VID_17839",3,"53259","513","8","37","F",161,1023
"2462","VID_11424",2,"173921","969","54","402","D",704,770
"2463","VID_199",3,"9485","5","0","0","A",119,2005
"2464","VID_19537",1,"759082","8455","113","1128","G",107,591
"2465","VID_6804",8,"374086","8104","124","7498","D",478,605
"2466","VID_8781",2,"204705","493","82","39","D",253,1720
"2467","VID_16744",2,"201277","1998","71","334","E",864,595
"2468","VID_8992",1,"1357182","5749","432","615","D",2771,879
"2469","VID_3358",6,"315627","245","111","61","D",2013,1797
"2470","VID_2920",4712,"5209","5","0","4","C",298,1074
"2471","VID_3319",2,"186013","123","52","30","D",2361,1877
"2472","VID_23355",5,"1172527","1923","222","629","H",549,618
"2473","VID_2522",2,"37356","25","18","F","C",899,731
"2474","VID_11095",633,"5341946","29123","1928","4739","D",246,547
"2475","VID_10826",30,"729","12","0","3","D",228,408
"2476","VID_21703",334,"35171","589","1","24","G",395,586
"2477","VID_10833",2,"581","15","0","2","D",268,519
"2478","VID_22023",2,"576440","3556","58","180","G",237,1138
"2479","VID_17265",1,"138732","533","24","53","E",241,1335
"2480","VID_18545",1,"194279","1172","28","75","F",234,870
"2481","VID_2065",3,"25708","62","40","19","B",142,1842
"2482","VID_21153",1,"762903","3941","36","178","G",242,1130
"2483","VID_1938",5,"455431","3140","286","369","B",694,563
"2484","VID_14083",11,"806141","4121","748","1903","D",432,2572
"2485","VID_2752",1,"239418","1863","51","99","C",297,869
"2486","VID_22939",3,"1071592","1180","411","169","G",6162,611
"2487","VID_15475",1,"194269","317","57","38","E",8352,981
"2488","VID_22514",2,"45173","449","16","33","G",196,1311
"2489","VID_1768",1,"615140","4038","101","173","B",147,725
"2490","VID_6260",5,"150262","440","29","12","D",683,1510
"2491","VID_1008",1,"244557","1534","212","374","B",336,726
"2492","VID_9954",2,"180968","598","48","146","D",164,585
"2493","VID_9729",11,"68499","591","33","28","D",269,1376
"2494","VID_18415",1112,"7434","133","5","19","F",963,418
"2495","VID_17636",1,"150302","350","21","45","E",6587,1337
"2496","VID_19157",113,"2345615","2420","665","301","G",252,1884
"2497","VID_11260",84318,"101622","641","6","109","D",267,416
"2498","VID_11234",1,"496586","2943","427","192","D",711,955
"2499","VID_11040",20,"3665814","18479","1208","2757","D",503,596
"2500","VID_17614",226,"1040","2","1","0","E",222,832
"2501","VID_7578",13,"1793403","2787","788","53","D",100,681
"2502","VID_17538",2,"584183","3803","366","286","E",414,1332
"2503","VID_10419",22,"449686","763","111","136","D",2236,1478
"2504","VID_22135",1,"25967","153","1","7","G",228,1711
"2505","VID_16354",2,"3222","10","3","2","E",21,730
"2506","VID_3469",7,"942904","866","166","73","D",399,1477
"2507","VID_18234",10,"100399","760","39","129","F",228,1005
"2508","VID_10108",6,"1188883","911","323","119","D",64,726
"2509","VID_11419",6,"237375","777","76","210","D",1129,938
"2510","VID_12285",5,"2411014","8457","1880","561","D",94,1713
"2511","VID_1127",1,"2141109","19133","846","1906","B",767,1268
"2512","VID_2696",2,"14086","262","3","77","C",282,1446
"2513","VID_2039",2,"25178","148","737","292","B",112,1523
"2514","VID_8526",20,"557","3","0","0","D",638,414
"2515","VID_16021",1,"276020","681","95","59","E",179,952
"2516","VID_11515",4,"206038","289","49","37","D",611,891
"2517","VID_12218",4,"770133","4657","190","262","D",738,1058
"2518","VID_20834",1,"19344377","70260","4345","4179","G",231,357
"2519","VID_13149",1,"46797","59","14","1","D",10319,638
"2520","VID_7840",3,"17420","11","2","4","D",408,2371
"2521","VID_6866",3,"449063","3709","103","3295","D",305,632
"2522","VID_7098",2,"156995","843","30","336","D",1416,449
"2523","VID_23547",1,"622688","461","201","38","H",160,1026
"2524","VID_20244",1,"1504","6","0","0","G",278,1551
"2525","VID_16772",1,"2257451","12217","390","413","E",198,992
"2526","VID_18281",5,"337351","2415","132","590","F",288,1087
"2527","VID_10367",7,"694778","1320","196","135","D",2279,1392
"2528","VID_7314",1,"264739","617","159","106","D",458,1005
"2529","VID_23706",7,"624059","6266","195","761","H",1134,604
"2530","VID_15287",25,"13910","85","4","22","E",384,681
"2531","VID_19142",5,"2805232","3774","572","427","G",367,1544
"2532","VID_13570",1,"456174","4500","46","165","D",240,1103
"2533","VID_4869",64,"118519","141","18","6","D",917,1568
"2534","VID_1197",1,"914799","2816","213","472","B",193,964
"2535","VID_1519",9,"804554","6443","321","956","B",486,616
"2536","VID_11798",9,"10271","98","6","14","D",799,1435
"2537","VID_17692",3,"76207","391","57","12","F",3481,1090
"2538","VID_18255",6,"120839","764","54","206","F",301,996
"2539","VID_11119",2,"161776","1382","18","65","D",829,560
"2540","VID_15156",1,"306106","852","17","28","E",241,1466
"2541","VID_3304",3,"411705","349","80","43","D",606,607
"2542","VID_15603",1,"46575","76","11","7","E",140,844
"2543","VID_5586",13,"1573474","2005","1100","223","D",182,1916
"2544","VID_3837",133,"10850761","11443","5714","539","D",108,1024
"2545","VID_2158",1,"58247","382","10","19","C",94,1213
"2546","VID_18345",4,"652168","4215","133","449","F",392,468
"2547","VID_18611",80,"5653","104","2","1","F",103,491
"2548","VID_9182",2,"449670","669","133","90","D",341,1182
"2549","VID_22403",2,"1591192","6220","194","204","G",230,1203
"2550","VID_19810",2,"54143","185","9","6","G",965,2677
"2551","VID_9697",4,"117286","127","30","14","D",8750,758
"2552","VID_1204",2,"707370","12050","249","2242","B",356,619
"2553","VID_7822",1,"9873","23","1","5","D",387,2485
"2554","VID_19987",1,"201402","384","55","14","G",307,1127
"2555","VID_1475",2,"3850503","22648","472","3425","B",301,1102
"2556","VID_18062",2,"1124872","5396","363","2428","F",647,1007
"2557","VID_14969",3,"136","4","0","0","D",202,932
"2558","VID_7336",1,"19661","17","3","2","D",372,1398
"2559","VID_17213",2,"367874","1869","57","944","E",195,687
"2560","VID_10622",11,"142305","494","38","101","D",557,1973
"2561","VID_6303",33,"1305595","1764","272","33","D",285,2091
"2562","VID_21064",1,"34624","61","24","2","G",237,1285
"2563","VID_8284",5,"517449","513","72","32","D",340,1514
"2564","VID_4296",14,"1306067","563","225","44","D",80,669
"2565","VID_16939",1,"8036","130","15","35","E",197,647
"2566","VID_23293",1,"1081980","1427","270","118","H",467,914
"2567","VID_14284",1,"272204","5396","166","1332","D",437,916
"2568","VID_7172",1,"82290","162","100","58","D",184,751
"2569","VID_1164",1,"69753","629","18","60","B",227,537
"2570","VID_7057",1,"24060","58","8","7","D",8538,1008
"2571","VID_5527",1,"13816","91","4","11","D",915,1466
"2572","VID_7321",1,"280458","197","65","11","D",121,906
"2573","VID_16595",7,"452159","3083","137","434","E",1679,605
"2574","VID_23652",2294,"3469","14","0","1","H",561,657
"2575","VID_19363",36,"108371","286","17","23","G",494,1684
"2576","VID_7182",15,"1814780","1543","527","973","D",252,647
"2577","VID_3010",1,"297267","202","62","17","C",68,916
